pageType,Url
"Forum - World News","https://breachforums.st/Thread-Alaska-News"
"Forum - Announcements","https://breachforums.st/Thread-BFv1-Database-Leak"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Choose-your-prefix-icon"
"Forum - World News","https://breachforums.st/Thread-Round-2-Change-Healthcare-Targeted-in-Second-Ransomware-Attack"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Add-Stelaer-Tool-and-General-Discussion-for-it"
"Forum - Announcements","https://breachforums.st/Thread-Confirmation-of-new-domain"
"Forum - World News","https://breachforums.st/Thread-Trump-effect-on-stock-market-will-last-until-when"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-add-Table-Generator-Plugin"
"Forum - Announcements","https://breachforums.st/Thread-Auto-Escrow-Update"
"Forum - Introductions","https://breachforums.st/Thread-New-Here--155221"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-Sticky-Marketplace-threads"
"Forum - Announcements","https://breachforums.st/Thread-RIP-Jacuzzi"
"Forum - Introductions","https://breachforums.st/Thread-im-new-hi-all"
"Forum - Announcements","https://breachforums.st/Thread-Another-day-another-domain-suspension"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Custom-profile-wrap"
"Forum - Introductions","https://breachforums.st/Thread-Hello-I-m-new--155042"
"Forum - Announcements","https://breachforums.st/Thread-Quality-of-Life-Updates"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Festive-BreachForums-Logos-and-Themes"
"Forum - Introductions","https://breachforums.st/Thread-lol-Vinny-Troia-got-dumped-by-SANS"
"Forum - Announcements","https://breachforums.st/Thread-Clarification-about-partnerships-with-our-forum"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Better-Scraper-Detection-and-Suggestions"
"Forum - Introductions","https://breachforums.st/Thread-Introduction-sys32"
"Forum - Announcements","https://breachforums.st/Thread-Downtime-Update--79856"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Choose-your-prefix-icon"
"Forum - Announcements","https://breachforums.st/Thread-BFv1-Database-Leak"
"Forum - Introductions","https://breachforums.st/Thread-Introduction-Seeking-Recommendations"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Add-Stelaer-Tool-and-General-Discussion-for-it"
"Forum - Announcements","https://breachforums.st/Thread-Confirmation-of-new-domain"
"Forum - Introductions","https://breachforums.st/Thread-Merry-Christmas--154835"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-add-Table-Generator-Plugin"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Thread-Prefixes"
"Forum - Announcements","https://breachforums.st/Thread-Scammers-pretending-to-be-staff"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-BF-url-redirect"
"Forum - Announcements","https://breachforums.st/Thread-Telegram-Shoutbox-Update"
"Forum - Announcements","https://breachforums.st/Thread-New-Forum-Sections"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Add-Counter-For-Social-Handle-Changes"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-Enable-Reply-to-view-in-the-Other-Leaks-Section"
"Forum - Announcements","https://breachforums.st/Thread-IMPORTANT-READ-How-did-we-troll-FBI"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-Limit-dox-Thread"
"Forum - Introductions","https://breachforums.st/Thread-Newbie--155279"
"Forum - Suggestions & Bug Reports","https://breachforums.st/Thread-SUGGESTION-ADD-A-REAL-PRIVACY-POLICY-TELL-US-WHAT-YOU-ARE-LOGGING"
